Station Number,Station Name,Province,Status,Latitude,Longitude,Year From,Year To,Gross Drainage Area (km2),Effective Drainage Area (km2),Regulation,Data Type,Operation Schedule,Sediment,RHBN,Real-Time,Datum Name,Publishing Office,Operating Agency,Contributed
08NM042,"TROUT CREEK NEAR SUMMERLAND",BC,Discontinued,49.57083,-119.65000,1928,1928,"756",,R,Flow,Miscellaneous,N,N,N,,VANCOUVER,"",N
08NM043,"VERNON CREEK NEAR OKANAGAN CENTRE",BC,Discontinued,50.01389,-119.34361,1919,1963,"90.1",,R,Flow,Seasonal,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM044,"VERNON CREEK OKANAGAN CENTRE DIVERSION",BC,Discontinued,50.01389,-119.34306,1919,1963,"",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM046,"WHITEMAN CREEK NEAR VERNON",BC,Discontinued,50.23083,-119.45250,1911,1970,"197",,R,Flow,Miscellaneous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM047,"NASWHITO CREEK NEAR EWING'S LANDING",BC,Discontinued,50.29306,-119.46111,1921,1921,"81.8",,N,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM048,"OYAMA CREEK ABOVE WOOD LAKE IRRIGATION INTAKE",BC,Discontinued,50.11583,-119.33472,1973,1987,"44.0",,R,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM049,"HORN CREEK NEAR KALEDEN",BC,Discontinued,49.40000,-119.65000,1920,1920,"",,N,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM050,"OKANAGAN RIVER AT PENTICTON",BC,Active,49.49852,-119.61536,1921,2024,"5980",,R,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08NM052,"IRISH CREEK NEAR VERNON",BC,Discontinued,50.36306,-119.33861,1922,1922,"",,N,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM053,"KELOWNA CREEK NEAR KELOWNA (LOWER STATION)",BC,Discontinued,49.89472,-119.41833,1968,1998,"221",,R,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM054,"TROUT CREEK NEAR FAULDER",BC,Discontinued,49.58750,-119.75417,1922,1954,"704",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM055,"TROUT CREEK SUMMERLAND DIVERSION",BC,Discontinued,49.59917,-119.76444,1922,1931,"",,N,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM056,"ELLIS CREEK SOUTH MAIN DIVERSION",BC,Discontinued,49.47861,-119.55778,1922,1966,"",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM057,"MISSION CREEK RUTLAND DIVERSION",BC,Discontinued,49.87500,-119.39111,1922,1930,"",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM058,"LAMBLY CREEK NEAR KELOWNA",BC,Discontinued,49.96000,-119.55417,1924,1927,"246",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM059,"POWERS CREEK BELOW WESTBANK DIVERSION",BC,Discontinued,49.84083,-119.65139,1965,1987,"139",,R,Flow,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM060,"KLO CREEK DIVERSION NEAR KELOWNA",BC,Discontinued,49.83917,-119.37000,1923,1968,"",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM061,"KELOWNA CREEK NEAR RUTLAND",BC,Discontinued,49.97889,-119.35306,1924,1931,"77.7",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM062,"SWALWELL LAKE NEAR OKANAGAN CENTRE",BC,Discontinued,50.04306,-119.24306,1971,1994,"",,R,Level,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM063,"PENTICTON CREEK LOT 19 DIVERSION",BC,Discontinued,49.50694,-119.56111,1926,1954,"",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM065,"VERNON CREEK AT OUTLET OF KALAMALKA LAKE",BC,Active,50.23847,-119.26689,1959,2024,"569",,R,Flow and Level,Continuous,N,N,Y,ASSUMED DATUM,VANCOUVER,"",N
08NM066,"WOOD LAKE AT INLET TO OYAMA CANAL",BC,Discontinued,50.10972,-119.38250,1955,1973,"",,R,Level,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM067,"ELLISON LAKE NEAR WINFIELD",BC,Discontinued,49.98472,-119.39639,1970,1980,"",,R,Level,Continuous,N,N,N,ASSUMED DATUM,VANCOUVER,"",N
08NM068,"HOWARD CREEK NEAR PENTICTON",BC,Discontinued,49.60556,-119.34667,1930,1930,"",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
08NM069,"REED CREEK NEAR PENTICTON",BC,Discontinued,49.58667,-119.37667,1930,1930,"",,R,Flow,Seasonal,N,N,N,,VANCOUVER,"",N
