x,y,MAX_REL_HUMIDITY,MAX_TEMPERATURE_FLAG,LOCAL_DAY,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,ID,LOCAL_MONTH,COOLING_DEGREE_DAYS,MAX_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,SNOW_ON_GROUND,DIRECTION_MAX_GUST,MIN_REL_HUMIDITY,MIN_TEMPERATURE,CLIMATE_IDENTIFIER,DIRECTION_MAX_GUST_FLAG,LOCAL_DATE,LOCAL_YEAR,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,SPEED_MAX_GUST_FLAG,MIN_TEMPERATURE_FLAG,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,TOTAL_RAIN,TOTAL_RAIN_FLAG,SPEED_MAX_GUST,TOTAL_PRECIPITATION_FLAG,SNOW_ON_GROUND_FLAG,COOLING_DEGREE_DAYS_FLAG,STATION_NAME,MAX_TEMPERATURE,PROVINCE_CODE,TOTAL_SNOW_FLAG
-121.93415138888889,50.683727777777776,77,,23,15.5,,1114619.2013.3.23,3,0,,,,,24,-4.6,1114619,M,2013-03-23 00:00:00,2013,2.5,,M,,,,,M,,M,,,LILLOOET,9.6,BC,M
-121.93415138888889,50.683727777777776,85,,15,8.8,,1114619.2013.3.15,3,0,,,,,34,3.1,1114619,M,2013-03-15 00:00:00,2013,9.2,,M,,,,,M,,M,,,LILLOOET,15.3,BC,M
-121.93415138888889,50.683727777777776,98,,9,13.3,,1114619.2013.3.9,3,0,,,,,36,-3.1,1114619,M,2013-03-09 00:00:00,2013,4.7,,M,,,,,M,,M,,,LILLOOET,12.4,BC,M
-121.93415138888889,50.683727777777776,86,,16,10.7,,1114619.2013.3.16,3,0,,,,,49,4,1114619,M,2013-03-16 00:00:00,2013,7.3,,M,,,,,M,,M,,,LILLOOET,10.6,BC,M
-121.93415138888889,50.683727777777776,88,,5,14.3,,1114619.2013.3.5,3,0,,,,,57,1.4,1114619,M,2013-03-05 00:00:00,2013,3.7,,M,,,,,M,,M,,,LILLOOET,6,BC,M
-121.93415138888889,50.683727777777776,87,,20,10.8,,1114619.2013.3.20,3,0,,,,,54,2.7,1114619,M,2013-03-20 00:00:00,2013,7.2,,M,,,,,M,,M,,,LILLOOET,11.7,BC,M
-121.93415138888889,50.683727777777776,67,,11,10.3,,1114619.2013.3.11,3,0,,,,,28,4.2,1114619,M,2013-03-11 00:00:00,2013,7.7,,M,,,,,M,,M,,,LILLOOET,11.1,BC,M
-121.93415138888889,50.683727777777776,88,,31,5.6,,1114619.2013.3.31,3,0,,,,,19,1.6,1114619,M,2013-03-31 00:00:00,2013,12.4,,M,,,,,M,,M,,,LILLOOET,23.2,BC,M
-121.93415138888889,50.683727777777776,87,,24,14.7,,1114619.2013.3.24,3,0,,,,,26,-4.8,1114619,M,2013-03-24 00:00:00,2013,3.3,,M,,,,,M,,M,,,LILLOOET,11.4,BC,M
-121.93415138888889,50.683727777777776,93,,18,14.7,,1114619.2013.3.18,3,0,,,,,46,-0.5,1114619,M,2013-03-18 00:00:00,2013,3.3,,M,,,,,M,,M,,,LILLOOET,7.1,BC,M
-121.93415138888889,50.683727777777776,91,,12,11.7,,1114619.2013.3.12,3,0,,,,,49,2.6,1114619,M,2013-03-12 00:00:00,2013,6.3,,M,,,,,M,,M,,,LILLOOET,9.9,BC,M
-121.93415138888889,50.683727777777776,88,,13,7,,1114619.2013.3.13,3,0,,,,,37,5.4,1114619,M,2013-03-13 00:00:00,2013,11,,M,,,,,M,,M,,,LILLOOET,16.5,BC,M
-121.93415138888889,50.683727777777776,93,,29,8.1,,1114619.2013.3.29,3,0,,,,,27,1.1,1114619,M,2013-03-29 00:00:00,2013,9.9,,M,,,,,M,,M,,,LILLOOET,18.7,BC,M
-121.93415138888889,50.683727777777776,94,,15,9.9,,1114619.2013.4.15,4,0,,,,,34,3.1,1114619,M,2013-04-15 00:00:00,2013,8.1,,M,,,,,M,,M,,,LILLOOET,13,BC,M
-121.93415138888889,50.683727777777776,89,,14,10.9,,1114619.2013.4.14,4,0,,,,,49,2.4,1114619,M,2013-04-14 00:00:00,2013,7.1,,M,,,,,M,,M,,,LILLOOET,11.7,BC,M
-121.93415138888889,50.683727777777776,94,,13,11.2,,1114619.2013.4.13,4,0,,,,,25,0.5,1114619,M,2013-04-13 00:00:00,2013,6.8,,M,,,,,M,,M,,,LILLOOET,13,BC,M
-121.93415138888889,50.683727777777776,96,,16,10.6,,1114619.2013.4.16,4,0,,,,,28,1.1,1114619,M,2013-04-16 00:00:00,2013,7.4,,M,,,,,M,,M,,,LILLOOET,13.6,BC,M
-121.93415138888889,50.683727777777776,67,,26,2.1,,1114619.2013.4.26,4,0,,,,,24,9.8,1114619,M,2013-04-26 00:00:00,2013,15.9,,M,,,,,M,,M,,,LILLOOET,21.9,BC,M
-121.93415138888889,50.683727777777776,75,,23,7.5,,1114619.2013.4.23,4,0,,,,,31,3.9,1114619,M,2013-04-23 00:00:00,2013,10.5,,M,,,,,M,,M,,,LILLOOET,17,BC,M
-121.93415138888889,50.683727777777776,78,,25,3.9,,1114619.2013.4.25,4,0,,,,,22,4.3,1114619,M,2013-04-25 00:00:00,2013,14.1,,M,,,,,M,,M,,,LILLOOET,23.9,BC,M
-121.93415138888889,50.683727777777776,91,,24,7.5,,1114619.2013.4.24,4,0,,,,,18,0.4,1114619,M,2013-04-24 00:00:00,2013,10.5,,M,,,,,M,,M,,,LILLOOET,20.6,BC,M
-121.93415138888889,50.683727777777776,53,,27,3.1,,1114619.2013.4.27,4,0,,,,,30,11.7,1114619,M,2013-04-27 00:00:00,2013,14.9,,M,,,,,M,,M,,,LILLOOET,18.1,BC,M
-121.93415138888889,50.683727777777776,88,,1,6,,1114619.2013.4.1,4,0,,,,,21,1.6,1114619,M,2013-04-01 00:00:00,2013,12,,M,,,,,M,,M,,,LILLOOET,22.4,BC,M
-121.93415138888889,50.683727777777776,90,,5,5.8,,1114619.2013.4.5,4,0,,,,,39,8.3,1114619,M,2013-04-05 00:00:00,2013,12.2,,M,,,,,M,,M,,,LILLOOET,16,BC,M
-121.93415138888889,50.683727777777776,86,,9,9.9,,1114619.2013.4.9,4,0,,,,,46,3.5,1114619,M,2013-04-09 00:00:00,2013,8.1,,M,,,,,M,,M,,,LILLOOET,12.6,BC,M
-121.93415138888889,50.683727777777776,90,,17,9.8,,1114619.2013.4.17,4,0,,,,,27,0.6,1114619,M,2013-04-17 00:00:00,2013,8.2,,M,,,,,M,,M,,,LILLOOET,15.8,BC,M
-121.93415138888889,50.683727777777776,94,,7,12.4,,1114619.2013.4.7,4,0,,,,,58,2.3,1114619,M,2013-04-07 00:00:00,2013,5.6,,M,,,,,M,,M,,,LILLOOET,8.9,BC,M
-121.93415138888889,50.683727777777776,67,,28,6.8,,1114619.2013.4.28,4,0,,,,,24,7.8,1114619,M,2013-04-28 00:00:00,2013,11.2,,M,,,,,M,,M,,,LILLOOET,14.6,BC,M
