x,y,MAX_REL_HUMIDITY,DIRECTION_MAX_GUST_FLAG,MIN_TEMPERATURE,MAX_TEMPERATURE,LOCAL_MONTH,STATION_NAME,TOTAL_RAIN_FLAG,MIN_TEMPERATURE_FLAG,MEAN_TEMPERATURE,TOTAL_RAIN,ID,COOLING_DEGREE_DAYS_FLAG,SNOW_ON_GROUND,HEATING_DEGREE_DAYS_FLAG,LOCAL_YEAR,MAX_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE_FLAG,COOLING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,HEATING_DEGREE_DAYS,TOTAL_PRECIPITATION,TOTAL_SNOW_FLAG,TOTAL_PRECIPITATION_FLAG,DIRECTION_MAX_GUST,SNOW_ON_GROUND_FLAG,PROVINCE_CODE,MIN_REL_HUMIDITY_FLAG,TOTAL_SNOW,MAX_TEMPERATURE_FLAG,MIN_REL_HUMIDITY,SPEED_MAX_GUST,LOCAL_DAY,CLIMATE_IDENTIFIER,LOCAL_DATE
-128.63416666666666,54.05361111111111,,,4,20,9,KITIMAT TOWNSITE,,,12,4,1064320.2014.9.17,,0,,2014,,,0,,6,4,,,,,BC,,0,,,,17,1064320,2014-09-17 00:00:00
-128.63416666666666,54.05361111111111,,,-6,2,3,KITIMAT TOWNSITE,,,-2,0,1064320.2020.3.14,,0,,2020,,,0,,20,0,,,,,BC,,0,,,,14,1064320,2020-03-14 00:00:00
-128.63416666666666,54.05361111111111,,,3,7,3,KITIMAT TOWNSITE,,,5,8.4,1064320.2013.3.25,,0,,2013,,,0,,13,8.4,,,,,BC,,0,,,,25,1064320,2013-03-25 00:00:00
-128.63416666666666,54.05361111111111,,,6,22,5,KITIMAT TOWNSITE,,,14,12,1064320.2017.5.22,,0,,2017,,,0,,4,12,,,,,BC,,0,,,,22,1064320,2017-05-22 00:00:00
-128.63416666666666,54.05361111111111,,,2,10,11,KITIMAT TOWNSITE,T,,6,0,1064320.2017.11.1,,0,,2017,,,0,,12,0,,T,,,BC,,0,,,,1,1064320,2017-11-01 00:00:00
-128.63416666666666,54.05361111111111,,,-14,,12,KITIMAT TOWNSITE,,,,0,1064320.2017.12.25,M,0,M,2017,,M,,,,0,,,,,BC,,0,M,,,25,1064320,2017-12-25 00:00:00
-128.63416666666666,54.05361111111111,,,10,29,8,KITIMAT TOWNSITE,,,19.5,6,1064320.2013.8.16,,0,,2013,,,1.5,,0,6,,,,,BC,,0,,,,16,1064320,2013-08-16 00:00:00
-128.63416666666666,54.05361111111111,,,8,28,7,KITIMAT TOWNSITE,,,18,0,1064320.2020.7.25,,0,,2020,,,0,,0,0,,,,,BC,,0,,,,25,1064320,2020-07-25 00:00:00
-128.63416666666666,54.05361111111111,,,7,25,7,KITIMAT TOWNSITE,,,16,1,1064320.2017.7.25,,0,,2017,,,0,,2,1,,,,,BC,,0,,,,25,1064320,2017-07-25 00:00:00
-128.63416666666666,54.05361111111111,,,4,11,4,KITIMAT TOWNSITE,,,7.5,2,1064320.2018.4.22,,0,,2018,,,0,,10.5,2,,,,,BC,,0,,,,22,1064320,2018-04-22 00:00:00
